0, 0, 0
53b16, ffff2ec5, a762
53b16, ffff04ec, a762
53b16, fffedb14, a762
521d2, 14874, cd48
521d2, 11f66, cd48
521d2, f657, cd48
521d2, cd48, cd48
521d2, a43a, cd48
521d2, 7b2b, cd48
521d2, 521d, cd48
521d2, 290e, cd48
521d2, 0, cd48
521d2, ffffd6f2, cd48
521d2, ffffade3, cd48
521d2, ffff84d5, cd48
521d2, ffff5bc6, cd48
521d2, ffff32b8, cd48
521d2, ffff09a9, cd48
521d2, fffee09a, cd48
5097e, 1425f, f1c7
5097e, 11a13, f1c7
5097e, f1c7, f1c7
5097e, c97b, f1c7
5097e, a12f, f1c7
5097e, 78e3, f1c7
5097e, 5097, f1c7
5097e, 284b, f1c7
5097e, 0, f1c7
5097e, ffffd7b5, f1c7
5097e, ffffaf69, f1c7
5097e, ffff871d, f1c7
5097e, ffff5ed1, f1c7
5097e, ffff3685, f1c7
5097e, ffff0e39, f1c7
5097e, fffee5ed, f1c7
4f20c, 13c83, 114f2
4f20c, 114f2, 114f2
4f20c, ed62, 114f2
4f20c, c5d2, 114f2
4f20c, 9e41, 114f2
4f20c, 76b1, 114f2
4f20c, 4f20, 114f2
4f20c, 2790, 114f2
4f20c, 0, 114f2
4f20c, ffffd870, 114f2
4f20c, ffffb0e0, 114f2
4f20c, ffff894f, 114f2
4f20c, ffff61bf, 114f2
4f20c, ffff3a2e, 114f2
4f20c, ffff129e, 114f2
4f20c, fffeeb0e, 114f2
