00040000, 0000e000, 0000a000
00040000, 0000c000, 0000a000
00040000, 0000a000, 0000a000
00040000, 00008000, 0000a000
00040000, 00006000, 0000a000
00040000, 00004000, 0000a000
00040000, 00002000, 0000a000
00040000, 00000000, 0000a000
00040000, ffffe000, 0000a000
00040000, ffffc000, 0000a000
00040000, ffffa000, 0000a000
00040000, ffff8000, 0000a000
00040000, ffff6000, 0000a000
00040000, ffff4000, 0000a000
00040000, ffff2000, 0000a000
00040000, 00010000, 0000c000
00040000, 0000e000, 0000c000
00040000, 0000c000, 0000c000
00040000, 0000a000, 0000c000
00040000, 00008000, 0000c000
00040000, 00006000, 0000c000
00040000, 00004000, 0000c000
00040000, 00002000, 0000c000
00040000, 00000000, 0000c000
00040000, ffffe000, 0000c000
00040000, ffffc000, 0000c000
00040000, ffffa000, 0000c000
00040000, ffff8000, 0000c000
00040000, ffff6000, 0000c000
00040000, ffff4000, 0000c000
00040000, ffff2000, 0000c000
00040000, 00010000, 0000e000
00040000, 0000e000, 0000e000
00040000, 0000c000, 0000e000
00040000, 0000a000, 0000e000
00040000, 00008000, 0000e000
00040000, 00006000, 0000e000
00040000, 00004000, 0000e000
00040000, 00002000, 0000e000
00040000, 00000000, 0000e000
00040000, ffffe000, 0000e000
00040000, ffffc000, 0000e000
00040000, ffffa000, 0000e000
00040000, ffff8000, 0000e000
00040000, ffff6000, 0000e000
00040000, ffff4000, 0000e000
00040000, ffff2000, 0000e000
